Energy(MeV)	LaCl\d3\n:Ce(SEB 347)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
0.88300	3.7006	0.68366	0.43100	9.1859	0.90483	0.43100	8.8509	1.0287	0.45400	7.9867	0.91269
0.90000	3.2640	0.60300	0.43800	8.4452	0.83188	0.43800	8.4616	0.98349	0.46000	9.0013	1.0286
0.91600	2.9481	0.54465	0.44500	8.2441	0.81208	0.44500	8.3147	0.96642	0.46700	9.5927	1.0962
0.93300	3.4771	0.64238	0.45200	8.3294	0.82049	0.45200	8.2768	0.96203	0.47300	9.7832	1.1180
0.95000	3.1852	0.58846	0.45900	8.4640	0.83376	0.45900	7.4944	0.87109	0.47900	10.457	1.1951
0.96700	2.9339	0.54203	0.46600	9.8417	0.96949	0.46600	8.8010	1.0230	0.48600	10.433	1.1923
0.98400	2.8314	0.52310	0.47400	10.456	1.0301	0.47400	9.3986	1.0924	0.49200	10.347	1.1825
1.0020	2.6022	0.48075	0.48100	11.273	1.1105	0.48100	10.069	1.1704	0.49900	10.650	1.2171
1.0190	2.6632	0.49202	0.48800	10.193	1.0041	0.48800	9.1055	1.0584	0.50500	10.406	1.1892
1.0370	2.4053	0.44438	0.49500	10.653	1.0495	0.49500	9.5394	1.1088	0.51200	9.8834	1.1295
1.0540	1.8623	0.34406	0.50300	9.9060	0.97586	0.50300	9.6869	1.1260	0.51900	9.0345	1.0325
1.0720	2.0384	0.37660	0.51000	9.2336	0.90961	0.51000	9.0484	1.0517	0.52500	9.2341	1.0553
1.0900	2.0268	0.37446	0.51800	8.4171	0.82921	0.51800	8.4394	0.98098	0.53200	8.4825	0.96940
1.1090	2.0748	0.38332	0.52600	8.5330	0.84067	0.52600	8.5350	0.99213	0.53900	7.6278	0.87172
1.1270	2.0750	0.38336	0.53400	7.6388	0.75259	0.53400	7.8680	0.91461	0.54500	8.4653	0.96745
1.1460	1.9491	0.36010	0.54200	7.5979	0.74857	0.54200	7.5939	0.88275	0.55200	8.4366	0.96417
1.1640	1.9317	0.35688	0.55000	8.1771	0.80563	0.55000	8.3181	0.96695	0.55900	8.7588	1.0010
1.1830	1.8471	0.34125	0.55700	8.9433	0.88114	0.55700	9.0202	1.0486	0.56600	9.2963	1.0624
1.2020	1.8233	0.33687	0.56600	9.2344	0.90985	0.56600	9.5741	1.1130	0.57300	9.5469	1.0911
1.2210	1.7758	0.32810	0.57400	9.8985	0.97530	0.57400	9.6971	1.1273	0.58000	9.5891	1.0959
